filename,tapper,speaker,syllno,syll,p,PA
mono_G-L_left_0317,P1,G,5,tROts,p,
mono_G-L_left_0317,P1,G,6,de:m,,
mono_G-L_left_0317,P1,G,7,aUs,p,PA
mono_G-L_left_0317,P1,G,8,tsi:n,,
mono_G-L_left_0366,P1,G,1,man,,
mono_G-L_left_0366,P1,G,2,vI6t,,
mono_G-L_left_0366,P1,G,3,aU,,
mono_G-L_left_0366,P1,G,4,RECt,,
mono_G-L_left_0366,P1,G,5,ko:,p,
mono_G-L_left_0366,P1,G,6,mIS,,
mono_G-L_left_0366,P1,G,7,an,p,PA
mono_G-L_left_0366,P1,G,8,g@,,
mono_G-L_left_0366,P1,G,9,kUkt,,
mono_G-L_left_0381,P1,G,1,ts,,
mono_G-L_left_0381,P1,G,2,a:,,
mono_G-L_left_0381,P1,G,3,b6,,
mono_G-L_left_0381,P1,G,4,gants,p,PA
mono_G-L_left_0381,P1,G,5,a6k,,
mono_G-L_left_0381,P1,G,6,tRO,,
mono_G-L_left_0381,P1,G,7,kN,,
mono_G-L_left_0381,P1,G,8,o:,p,PA
mono_G-L_left_0381,P1,G,9,d6,,
mono_G-L_left_0450,P1,G,1,ja:,p,PA
mono_G-L_left_0450,P1,G,2,d@s,,
mono_G-L_left_0450,P1,G,3,hat,,
mono_G-L_left_0450,P1,G,4,mi:6,,
mono_G-L_left_0450,P1,G,5,ga:6,p,PA
mono_G-L_left_0450,P1,G,6,nIC,,
mono_G-L_left_0450,P1,G,7,g@,,
mono_G-L_left_0450,P1,G,8,fa,,
mono_G-L_left_0450,P1,G,9,ln,,
mono_G-L_left_0615,P1,G,1,dEs,,
mono_G-L_left_0615,P1,G,2,va:6,p,PA
mono_G-L_left_0615,P1,G,3,aI,,
mono_G-L_left_0615,P1,G,4,nt,,
mono_G-L_left_0615,P1,G,5,lIC,,
mono_G-L_left_0615,P1,G,6,e:,,
mono_G-L_left_0615,P1,G,7,6,,
mono_G-L_left_0615,P1,G,8,tsu:,p,PA
mono_G-L_left_0615,P1,G,9,fE,,
mono_G-L_left_0615,P1,G,10,lIC,,
mono_G-L_left_0852,P1,G,1,vaIl,p,
mono_G-L_left_0852,P1,G,2,dEs,,
mono_G-L_left_0852,P1,G,3,ja:,,
mono_G-L_left_0852,P1,G,4,zo:,,
mono_G-L_left_0852,P1,G,5,E:,,
mono_G-L_left_0852,P1,G,6,mIn,p,PA
mono_G-L_left_0852,P1,G,7,d6,,
mono_G-L_left_0852,P1,G,8,ve:6,,
mono_G-L_left_0852,P1,G,9,tIC,,
mono_G-L_left_0852,P1,G,10,Is,,
mono_G-L_left_0854,P1,G,1,vaIl,,
mono_G-L_left_0854,P1,G,2,dEs,,
mono_G-L_left_0854,P1,G,3,Un,,
mono_G-L_left_0854,P1,G,4,g@,,
mono_G-L_left_0854,P1,G,5,fE:6,,
mono_G-L_left_0854,P1,G,6,je:,p,PA
mono_G-L_left_0854,P1,G,7,d6,,
mono_G-L_left_0854,P1,G,8,kan,,
mono_G-L_left_0901,P1,G,1,ah,,
mono_G-L_left_0901,P1,G,2,dOx,p,
mono_G-L_left_0901,P1,G,3,das,,
mono_G-L_left_0901,P1,G,4,Is,,
mono_G-L_left_0901,P1,G,5,ze:6,,
mono_G-L_left_0901,P1,G,6,fE6,,
mono_G-L_left_0901,P1,G,7,p2:nt,p,PA
mono_G-L_left_0901,P1,G,8,hi:6,,
mono_G-L_left_1169,P1,G,1,ja:,,
mono_G-L_left_1169,P1,G,2,na,,
