filename,speaker,syllno,syll,sylldur,prepausal,postpausal,f0meanhz,f0meanst,f0rangehz,f0rangest,f0maxhz,f0maxst,intens,seglabel,segdur,f0meanhz_v,f0meanst_v,f0rangehz_v,f0rangest_v,f0rangest_v_abs,f0maxHz_v,f0maxst_v,intens_v,h1h2,cpps,slope
mono_B-M_left_0608,B,1,mi:6,0.204,0,1,197.066,91.466,13.205,1.155,204.597,92.120,73.128,i:6,0.110,200.353,91.754,11.625,1.012,0.807,204.597,92.120,73.653,10.308,17.121,-35.628
mono_B-M_left_0608,B,2,va:6,0.110,0,0,199.171,91.653,11.888,1.045,203.200,92.001,74.999,a:6,0.080,198.567,91.600,11.888,1.045,-0.638,203.200,92.001,75.319,4.603,18.966,-23.891
mono_B-M_left_0608,B,3,d6,0.090,0,0,186.594,90.515,20.464,1.943,192.727,91.085,72.659,6,0.050,189.101,90.753,12.290,1.143,--undefined--,192.727,91.085,74.102,2.176,17.597,-28.969
mono_B-M_left_0608,B,4,g@,0.110,0,0,179.657,89.852,28.461,2.751,194.038,91.207,67.170,@,0.050,184.676,90.341,13.809,1.300,-0.153,190.947,90.924,69.598,1.871,15.664,-26.407
mono_B-M_left_0608,B,5,daN,0.270,0,0,213.745,92.687,90.472,7.249,264.442,96.562,69.296,a,0.115,184.241,90.296,23.294,2.175,--undefined--,197.264,91.488,70.185,12.476,9.443,-13.207
mono_B-M_left_0608,B,6,k@,0.130,0,0,235.904,94.497,71.868,5.359,269.858,96.913,67.391,@,0.045,222.892,93.539,65.969,4.986,-4.836,263.959,96.540,71.089,8.052,9.466,-26.490
mono_B-M_left_0608,B,7,zo:,0.140,0,0,181.639,90.044,38.372,3.579,205.505,92.197,64.697,o:,0.070,179.399,89.834,19.257,1.888,-1.529,186.390,90.506,65.642,3.314,16.538,-29.033
mono_B-M_left_0608,B,8,vaIt,0.321,0,0,170.952,89.007,8.734,0.890,174.178,89.333,66.332,aI,0.130,172.239,89.139,4.981,0.502,-0.060,174.178,89.333,69.803,5.792,21.582,-19.488
mono_B-M_left_0608,B,9,vEk,0.239,1,0,200.850,91.723,56.734,4.837,232.732,94.350,68.136,E,0.087,201.006,91.752,50.116,4.223,3.678,231.518,94.260,71.431,4.812,14.504,-21.726
mono_B-M_left_0783,B,1,a,0.100,0,1,173.748,89.285,12.484,1.230,181.965,90.090,68.901,a,0.100,173.748,89.285,12.484,1.230,--undefined--,181.965,90.090,68.901,6.658,9.874,-10.882
